datetime,conditions,quarter
2004-05-12,Clear,2
2004-05-13,Clear,2
2004-05-14,Clear,2
2004-05-15,Partially cloudy,2
2004-05-16,Partially cloudy,2
2004-05-17,Partially cloudy,2
2004-05-18,Partially cloudy,2
2004-05-19,Clear,2
2004-05-20,Partially cloudy,2
2004-05-21,Partially cloudy,2
2004-05-22,Partially cloudy,2
2004-05-23,Partially cloudy,2
2004-05-24,Partially cloudy,2
2004-05-25,"Rain, Partially cloudy",2
2004-05-26,Partially cloudy,2
2004-05-27,Partially cloudy,2
2004-05-28,Overcast,2
2004-05-29,Partially cloudy,2
2004-05-30,Clear,2
2004-05-31,Clear,2
2004-06-01,Clear,2
2004-06-02,Partially cloudy,2
2004-06-03,Partially cloudy,2
2004-06-04,Partially cloudy,2
2004-06-05,Partially cloudy,2
2004-06-06,Partially cloudy,2
2004-06-07,Overcast,2
2004-06-08,Partially cloudy,2
2004-06-09,Partially cloudy,2
2004-06-10,Clear,2
2004-06-11,Clear,2
2004-06-12,Partially cloudy,2
2004-06-13,Clear,2
2004-06-14,Partially cloudy,2
2004-06-15,Partially cloudy,2
2004-06-16,Overcast,2
2004-06-17,Partially cloudy,2
2004-06-18,Partially cloudy,2
2004-06-19,Partially cloudy,2
2004-06-20,Partially cloudy,2
2004-06-21,Partially cloudy,2
2004-06-22,Partially cloudy,2
2004-06-23,Partially cloudy,2
2004-06-24,Partially cloudy,2
2004-06-25,Partially cloudy,2
2004-06-26,Partially cloudy,2
2004-06-27,Partially cloudy,2
2004-06-28,Partially cloudy,2
2004-06-29,Partially cloudy,2
2004-06-30,Partially cloudy,2
2005-04-01,Clear,2
2005-04-02,Partially cloudy,2
2005-04-03,Partially cloudy,2
2005-04-04,Partially cloudy,2
2005-04-05,Clear,2
2005-04-06,Clear,2
2005-04-07,Partially cloudy,2
2005-04-08,Partially cloudy,2
2005-04-09,Clear,2
2005-04-10,Clear,2
2005-04-11,Clear,2
2005-04-12,Clear,2
2005-04-13,Clear,2
2005-04-14,Clear,2
2005-04-15,Partially cloudy,2
2005-04-16,Clear,2
2005-04-17,Partially cloudy,2
2005-04-18,Overcast,2
2005-04-19,Partially cloudy,2
2005-04-20,Partially cloudy,2
2005-04-21,Clear,2
