datetime,conditions,quarter
2006-12-08,Partially cloudy,4
2006-12-09,"Rain, Partially cloudy",4
2006-12-10,"Rain, Partially cloudy",4
2006-12-11,Rain,4
2006-12-12,Clear,4
2006-12-13,Clear,4
2006-12-14,Clear,4
2006-12-15,"Rain, Partially cloudy",4
2006-12-16,"Rain, Partially cloudy",4
2006-12-17,"Rain, Partially cloudy",4
2006-12-18,Clear,4
2006-12-19,Clear,4
2006-12-20,Clear,4
2006-12-21,Clear,4
2006-12-22,"Rain, Partially cloudy",4
2006-12-23,Clear,4
2006-12-24,Clear,4
2006-12-25,Clear,4
2006-12-26,Clear,4
2006-12-27,"Rain, Partially cloudy",4
2006-12-28,Clear,4
2006-12-29,Clear,4
2006-12-30,Clear,4
2006-12-31,Partially cloudy,4
2007-10-01,Clear,4
2007-10-02,Clear,4
2007-10-03,Clear,4
2007-10-04,Partially cloudy,4
2007-10-05,Partially cloudy,4
2007-10-06,Clear,4
2007-10-07,Clear,4
2007-10-08,Clear,4
2007-10-09,Clear,4
2007-10-10,Clear,4
2007-10-11,Clear,4
2007-10-12,"Rain, Partially cloudy",4
2007-10-13,"Rain, Partially cloudy",4
2007-10-14,Partially cloudy,4
2007-10-15,Overcast,4
2007-10-16,Partially cloudy,4
2007-10-17,"Rain, Partially cloudy",4
2007-10-18,Clear,4
2007-10-19,Clear,4
2007-10-20,Clear,4
2007-10-21,Clear,4
2007-10-22,Clear,4
2007-10-23,Partially cloudy,4
2007-10-24,Clear,4
2007-10-25,Clear,4
2007-10-26,Clear,4
2007-10-27,Partially cloudy,4
2007-10-28,Clear,4
2007-10-29,Clear,4
2007-10-30,Clear,4
2007-10-31,Clear,4
2007-11-01,Partially cloudy,4
2007-11-02,Partially cloudy,4
2007-11-03,Partially cloudy,4
2007-11-04,Partially cloudy,4
2007-11-05,Partially cloudy,4
2007-11-06,Partially cloudy,4
2007-11-07,Partially cloudy,4
2007-11-08,Overcast,4
2007-11-09,Partially cloudy,4
2007-11-10,Clear,4
2007-11-11,"Rain, Partially cloudy",4
2007-11-12,Clear,4
2007-11-13,Clear,4
2007-11-14,Clear,4
2007-11-15,Clear,4
2007-11-16,Partially cloudy,4
2007-11-17,Partially cloudy,4
2007-11-18,Partially cloudy,4
2007-11-19,"Rain, Partially cloudy",4
2007-11-20,Partially cloudy,4
2007-11-21,Partially cloudy,4
2007-11-22,Partially cloudy,4
2007-11-23,Rain,4
2007-11-24,Clear,4
2007-11-25,Clear,4
2007-11-26,Clear,4
2007-11-27,Clear,4
2007-11-28,Clear,4
2007-11-29,Clear,4
2007-11-30,"Rain, Overcast",4
2007-12-01,Clear,4
2007-12-02,Clear,4
2007-12-03,Clear,4
2007-12-04,Clear,4
2007-12-05,Clear,4
2007-12-06,"Rain, Overcast",4
2007-12-07,"Rain, Partially cloudy",4
2007-12-08,"Rain, Partially cloudy",4
2007-12-09,"Rain, Partially cloudy",4
2007-12-10,Clear,4
2007-12-11,Clear,4
2007-12-12,Clear,4
2007-12-13,Clear,4
2007-12-14,Clear,4
2007-12-15,Clear,4
2007-12-16,Clear,4
2007-12-17,"Rain, Partially cloudy",4
2007-12-18,"Rain, Overcast",4
2007-12-19,"Rain, Overcast",4
2007-12-20,"Rain, Partially cloudy",4
2007-12-21,Rain,4
2007-12-22,Clear,4
2007-12-23,Clear,4
2007-12-24,Clear,4
2007-12-25,Clear,4
2007-12-26,Clear,4
2007-12-27,Clear,4
2007-12-28,Partially cloudy,4
2007-12-29,Partially cloudy,4
2007-12-30,Clear,4
2007-12-31,Rain,4
2008-10-01,Clear,4
2008-10-02,Clear,4
2008-10-03,Partially cloudy,4
2008-10-04,"Rain, Overcast",4
2008-10-05,Clear,4
2008-10-06,Clear,4
2008-10-07,Clear,4
2008-10-08,Clear,4
2008-10-09,Clear,4
2008-10-10,Clear,4
2008-10-11,Clear,4
2008-10-12,Clear,4
2008-10-13,Clear,4
2008-10-14,Clear,4
2008-10-15,Clear,4
2008-10-16,Clear,4
2008-10-17,Clear,4
2008-10-18,Clear,4
2008-10-19,Clear,4
2008-10-20,Partially cloudy,4
2008-10-21,Rain,4
